prompt,completion
" Ted: It's nothing.
"," Robin: It's fantastic. Just for fun, Ted's been working on his own design. And it doesn't look at all like male genitalia. At least, not healthy male genitalia.
"
" Lily: Druthers has to be taught he can't behave like that. When I was teaching kindergarten,whenever a kid was mean, I would take away one of his toys. The kid would be upset at first,but then he'd learn to stop being mean.
"," Robin: Hey, guys. What's going on?
"
" Ted: Lily stole my boss' baseball signed three times by Pete Rose.
"," Robin: Why? Was he being mean?
"
" Ted: You know about this?
"," Robin: Yeah. It's her own personal form of justice. Did you tell him about that time at the Gap?
"
" Lily: Oh, that was a good one. This sales guy was rude to Robin, so I took a pair of khakis.
"," Robin: I gave them to you for your birthday.
"
" MacLaren's.
"," Robin: To Ted! The youngest person to ever design a building over 70 stories... Probably!
"
" Hospital.
"," Robin: Barney! Oh, my god!
"
" (British accent): Oh, right, right, because it's a choice.
"," Robin: You know what's not a choice?
"
" Marshall: It's crazy that Metro News One sends you this letter now.
"," Robin: Yes, I went for 4 months.
"
" Ted: And only 60% of them are prisoners.
"," Robin: These guys think what? I am far from my phase ""dating a prisoner."" It's like: ""Hi, I am over 19 years.""
"
" Barney: The daughter of the lottery is there.
"," Robin: I'm sorry for these women. This is where careers go to die on TV.
"
" Robin joined the others at McClaren's.
"," Robin: Hi.
"
" Lily: How was the audition?
"," Robin: I went very confident. I knew it was just me against two other girls.
"
" Robin is in a waiting room, sitting between two women.
"," Robin: Hello.
"
" Woman 1: Hello.
"," Robin: Robin Scherbatsky. And you are?
"
" Woman 1: You have obviously never been to Denver.Rochelle Harper, News Center 12. It was just the first string for the Rockies... 5 years on.
"," Robin: I was a presenter here for Metro News One.
"
" Rochelle: Presenter. You must have a mirror finish.
"," Robin: Sorry?
"
" Rochelle: What is yours?
"," Robin: I always ended up with a simple ""all of us at Metro News One, have a great evening.""
"
" Robin this information.
"," Robin:... and the president's economic team hopes to have a proposal before Congress by the end of the month. All of us at News 10, have a great evening. So, good night, New York.And that the road ahead is illuminated in dreams and tomorrows. Which are lit with dreams... also.
"
" Ted: It's terrible. And bad... also.
"," Robin: It's not over.
"
" Flashback
"," Robin: Arise, New York. Trust. Recycle. Exit covered.
"
" Marshall: Leave covered?
"," Robin: I will not be a presenter at Channel 10, right?
"
" Ted: The problem may be your CV. Have you seen like mine is ventilated? Yours is too busy.
"," Robin: As if everything on your resume is so important?""Program Director, Radio Wesleyan University""?
"
" Lily: Dr. X? You always talk to Dr. X?
"," Robin: Who is Dr. X?
"
" Barney: Bizarre. Look at what is mixed with your fan mail.
"," Robin: What?
"
" Barney: It comes from the Ministry of Immigration.
"," Robin: The postmark date of two months. My God.
"
" Lily: What has he?
"," Robin: My work permit. If I can not find a job in the coming...seven days, they will refer me to Canada.
"
" Barney: I can not believe you that turns the country.
"," Robin: I know. My whole life is here.
"
" Marshall: No, guys... it does not work like that. Robin will have its license if it works in his field. You could stay if you got married to a U.S. citizen. Yes, it might work. No. The procedure to formalize it would take too much time. It will not work.
"," Robin: I'm screwed. I send my demo for 3 months and nothing.
"
" Ted puts the tape.
"," Robin: Good question, Norm. For the first, I was an intern for Channel 22 in Red Deer. Alberta. In Canada. The snow falls hard enough, but these intrepid fishermen are still happy to contribute to the gathering of bass fishing Lake Athabasca, a tradition of 1 August To you, Norm. What? It was my first job. It shows where I come from.
"
" Marshall: Yes, why not? Many companies have a basketball team. They like that TonnerreVanille can still crash into the net.
"," Robin: We called you TonnerreVanille?
"
" Marshall: OK, no. They call it like that because it is very common among ballet dancers.
"," Robin: Tell me, other girls in your class have the dancer's hip?
"
" Marshall: insensate-ule.
"," Robin: Make me one.
"
" Barney: Now, we talk about it.
"," Robin: What? I will be deported. I would try anything.
"
" Barney: OK, we should get started. I have much to shoot, I can not use the tapes I have of you.
"," Robin: Bands on me?
"
" Barney: What does it mean to be a reporter for you?
"," Robin: Since I was little...
"
" Barney: Cut! You're mired in details. We need you to be vague, at ease with buzzwords like ""synergy"" and ""dynamism"". You can invent a word, as... ""Relationality.""
"," Robin: How does make me feel stupid commit somewhere?
"
" Barney: All right. Do not do it. There are many exciting stories to cover in Canada. I just read it, the nephew of the mayor of Winnipeg went fishing on the ice and took a pole of 7 Kg Live from the worst place in the world, I'm Robin Scherbatsky.
"," Robin: Rotate the camera. Connectitude.
"
" Barney: I like it.
"," Robin: Transformatation.
"
" Barney: Come on!
"," Robin: relationality.
"
" Barney, Robin returns to the living room dressed in a kimono.
"," Robin: These clothes are ridiculous. In addition, the armor of the amazon princess itch.
"
" Barney: Showdown. You're not the first to wear it here. But it expresses the power. And that, too. Now, I need you break these 15 bricks with your forehead.
"," Robin: What? But you do anything in your video. You were right next to a horse and sitting on a motorcycle.
"
" Barney: I am a man. You're a woman. Assume that you can do nothing. You must prove that society is wrong.
"," Robin: I can not break 15 bricks with my forehead.
"
" Barney: There is more in 1950. Yes, you can.
"," Robin: I'm off.
"
" Barney: Why?
"," Robin: It will not help me find a job. I'm going to evict. I know what to do. (Robin enters an office) This is where the auditions for the daughter of lottery?
"
" Ted (2030): So your Aunt Robin had hit bottom. She auditioned to be the daughter of lottery.
"," Robin: And the lotto numbers for tonight are...
"
" Man 1: It creates suspense.
"," Robin: And the lotto numbers for tonight are... 17...
"
" Man 1: Yes, she looks super wicked. You can repeat ""17"" for us?
"," Robin: 17.
"
" Man 1: Let me try something. Try to be a little disillusioned.
"," Robin: Disillusioned? On the 17th?
"
" Man 1:... sparkle.
"," Robin: 17.
"
" Robin arrives.
"," Robin: I have not even been taken as the daughter of lottery. I must leave Canada.
"
" Lily: I think so.
"," Robin: I remember the night before. They made me a farewell party. They gave me a camera to take pictures and send them home. Everyone was sure I will have much success. You will really miss.
"
" Barney: Oh, my God. It's horrible. It'll be along to commute.
"," Robin: What do you mean?
"
" Barney: I've finished your video resume myself. I posted it to all channels of the city. A guy called from Channel 8. He adores you. He wants you to pass an audition.
"," Robin: My God!
"
" Barney: I said no. Robin Scherbatsky do not audition. He is given the job or anything.
"," Robin: So, I have the job.
"
" Barney: No. He cursed me and hung up. But after Channel 12, called. They'll love it too. They offer you to host their new talk show in the morning.
"," Robin: It's amazing!
"
" Barney: I sent them sh1t.
"," Robin: Dude!
"
" Marshall: It's OK. Later.
"," Robin: How did you do that?
"
" Barney: I am the master of possimpossible.
"," Robin: Yes. Thank you.
"
" Barney: I know, right?
"," Robin: Oh, congratulations, Marshall!
"
" Barney: The fact that I found a porno starring a guy named Ted Mosby... Let's do it!
"," Robin: Oh, is that him? Cause that Ted Mosby really knows what he's doing.
"
" Ted: No, that's not him. What do you mean, ""that"" Ted Mosby really knows what he's doing?
"," Robin: Oh, no! No, I meant, that Ted Mosby, he really knows what he's doing. Like all Ted Mosbys. (to Marshall) Wow, NRDC! Way to go, Marshall.
"
" Lily: Marshall, your dad went through a lot of trouble to set this up. You can't just pull out at the last second.
"," Robin: Apparently you can.
"
" Barney: Ted, Ted, Ted, guy in the hat! Three stripes, ladies and gentlemen, I give you Ted Mosby, p0rn star.
"," Robin: I know what kind of plane this is. It's a ""boing"".
"
" Barney: More around the eyes.
"," Robin: Oh, I do see that.
"
" Barney: Hmm. You're not wrong. (He looks on his phone) According to the web site, of the far superior Ted Mosby... he's been in the business three months, and he's made 125 movies.
"," Robin: Wow. That's 42 movies a month. Who is he, Jude Law? Right? He makes a lot of movies. I mean, not so much lately, but maybe, like, two years ago, you couldn't go to a movie without...
"
" Marshall: Oh my God. He's trying to seduce me.
"," Robin: So are you gonna go to dinner with him?
"
" Barney: Don't wait up.
"," Robin: Guys, guys, guys, check this out. Ted Mosby p0rn star's bio says his hometown is your hometown. Shaker Heights, Ohio.
"
" Ted: What? Okay, this is getting creepy. Who, who is this guy? I gotta find him.
"," Robin: Well, it's your lucky day. He's gonna be signing autographs tomorrow night in Manhattan at something called the Adult Video Expo.
"
" [The Apartment - Robin/Lily]
"," Robin: Lily, you're a kindergarten teacher?
"
" Narrator: Cause Robin was about to ask Lily the one question...
"," Robin: And you make a kindergarten teacher's salary, right?
"
" Narrator: That Lily had been dreading for years.
"," Robin: Well, how do you afford all of these expensive clothes?
"
" Lily: I shop the sales. There were in the closet when we moved in. I steal. I'm a criminal. I once shot a man just to watch him die.
"," Robin: Lily?
"
" Weather man: And so tropical storm Willy is going to be with us at least until Monday. It's gonna rain cats and dogs, folks. So don't step in a poodle. Sandy? Robin?
"," Robin: Thanks, Lou. Boy, too bad. Our big Metro News One camping trip was going to be this weekend.
"
" Sandy: Yeah, but camping out in the rain? No fun. Muddy. Yuck.
"," Robin: Guess we'll have to take a rain check.
"
" Sandy: And we'll check in with you tomorrow, New York.
"," Robin: Have a great night.
"
" Sandy: Bummer. I was hoping to finally have s*x with you this weekend, Scherbotsky.
"," Robin: Well, I'd give you the ""I don't date coworkers"" speech again, but, God, you must have that sum'bitch memorized by now.
"
" (On the other side of the entry door, Robin is looking for her keyes)
"," Robin: Damn it.
"
" Lily: Hello.
"," Robin: Hey, Lily, I'm locked out of my apartment. I need to come pick up my extra key.
"
" Lily: Extra key? Do I have an extra key to your apartment?
"," Robin: Yes, I gave it to you.
"
